ensembl_gene_id,external_gene_name,mgi_symbol,mgi_description,chromosome_name,start_position,end_position,TSS_diff,cluster_3Mb_bychr,OR_class
ENSMUSG00000045111,Taar6,Taar6,trace amine-associated receptor 6,10,23984609,23985646,13903,10-1,Taars
ENSMUSG00000095647,Taar7a,Taar7a,trace amine-associated receptor 7A,10,23992405,23993481,7796,10-1,Taars
ENSMUSG00000095171,Taar7b,Taar7b,trace amine-associated receptor 7B,10,23999939,24001015,7534,10-1,Taars
ENSMUSG00000095569,Taar7d,Taar7d,trace amine-associated receptor 7D,10,24027222,24028298,27283,10-1,Taars
ENSMUSG00000100689,Taar7e,Taar7e,trace amine-associated receptor 7E,10,24037614,24038690,10392,10-1,Taars
ENSMUSG00000100950,Taar7f,Taar7f,trace amine-associated receptor 7F,10,24049510,24050586,11896,10-1,Taars
ENSMUSG00000096442,Taar8a,Taar8a,trace amine-associated receptor 8A,10,24076500,24077534,26990,10-1,Taars
ENSMUSG00000100186,Taar8b,Taar8b,trace amine-associated receptor 8B,10,24091260,24092294,14760,10-1,Taars
ENSMUSG00000100004,Taar8c,Taar8c,trace amine-associated receptor 8C,10,24100878,24101912,9618,10-1,Taars
ENSMUSG00000037424,Taar9,Taar9,trace amine-associated receptor 9,10,24108488,24109534,7610,10-1,Taars
ENSMUSG00000107822,Olfr1358,Olfr1358,olfactory receptor 1358,10,78517428,78520566,54408940,10-2,class2
ENSMUSG00000071185,Olfr1357,Olfr1357,olfactory receptor 1357,10,78611003,78618074,93575,10-2,class2
ENSMUSG00000051190,Olfr1356,Olfr1356,olfactory receptor 1356,10,78845052,78852166,234049,10-2,class2
ENSMUSG00000062873,Olfr1355,Olfr1355,olfactory receptor 1355,10,78875540,78882266,30488,10-2,class2
ENSMUSG00000094673,Olfr1354,Olfr1354,olfactory receptor 1354,10,78913171,78920399,37631,10-2,class2
ENSMUSG00000094080,Olfr8,Olfr8,olfactory receptor 8,10,78950636,78958378,37465,10-2,class2
ENSMUSG00000042774,Olfr1353,Olfr1353,olfactory receptor 1353,10,78963309,78971338,12673,10-2,class2
ENSMUSG00000046493,Olfr1352,Olfr1352,olfactory receptor 1352,10,78981050,78987903,17741,10-2,class2
ENSMUSG00000063216,Olfr1351,Olfr1351,olfactory receptor 1351,10,79012472,79019645,31422,10-2,class2
ENSMUSG00000060205,Olfr57,Olfr57,olfactory receptor 57,10,79028741,79036274,16269,10-2,class2
ENSMUSG00000069430,Olfr9,Olfr9,olfactory receptor 9,10,128989431,128992102,49960690,10-3,class2
ENSMUSG00000063374,Olfr763,Olfr763,olfactory receptor 763,10,129010791,129013313,21360,10-3,class2
ENSMUSG00000107648,Olfr764-ps1,Olfr764-ps1,"olfactory receptor 764, pseudogene 1",10,129032697,129039896,21906,10-3,class2
ENSMUSG00000056853,Olfr765,Olfr765,olfactory receptor 765,10,129044817,129049998,12120,10-3,class2
ENSMUSG00000107748,Olfr766-ps1,Olfr766-ps1,"olfactory receptor 766, pseudogene 1",10,129061853,129068977,17036,10-3,class2
ENSMUSG00000059762,Olfr767,Olfr767,olfactory receptor 767,10,129074825,129082910,12972,10-3,class2
ENSMUSG00000050198,Olfr768,Olfr768,olfactory receptor 768,10,129090222,129099375,15397,10-3,class2
ENSMUSG00000042801,Olfr769,Olfr769,olfactory receptor 769,10,129108952,129117861,18730,10-3,class2
ENSMUSG00000047868,Olfr770,Olfr770,olfactory receptor 770,10,129132578,129138998,23626,10-3,class2
ENSMUSG00000061367,Olfr771,Olfr771,olfactory receptor 771,10,129160003,129164751,27425,10-3,class2
ENSMUSG00000107662,Olfr772,Olfr772,olfactory receptor 772,10,129172573,129177921,12570,10-3,class2
ENSMUSG00000096000,Olfr773,Olfr773,olfactory receptor 773,10,129186484,129187419,13911,10-3,class2
ENSMUSG00000096229,Olfr774,Olfr774,olfactory receptor 774,10,129236204,129239403,49720,10-3,class2
ENSMUSG00000096220,Olfr775,Olfr775,olfactory receptor 775,10,129248412,129253924,12208,10-3,class2
ENSMUSG00000095483,Olfr776,Olfr776,olfactory receptor 776,10,129259127,129264298,10715,10-3,class2
ENSMUSG00000062914,Olfr777,Olfr777,olfactory receptor 777,10,129264407,129271485,5280,10-3,class2
ENSMUSG00000044537,Olfr779,Olfr779,olfactory receptor 779,10,129311180,129312108,46773,10-3,class2
ENSMUSG00000049573,Olfr780,Olfr780,olfactory receptor 780,10,129318117,129324141,6937,10-3,class2
ENSMUSG00000095138,Olfr781,Olfr781,olfactory receptor 781,10,129328854,129333844,10737,10-3,class2
ENSMUSG00000095075,Olfr782,Olfr782,olfactory receptor 782,10,129348850,129352144,19996,10-3,class2
ENSMUSG00000094347,Olfr784,Olfr784,olfactory receptor 784,10,129384083,129390198,35233,10-3,class2
ENSMUSG00000111732,Olfr785,Olfr785,,10,129405426,129411193,21343,10-3,class2
ENSMUSG00000095696,Olfr786,Olfr786,olfactory receptor 786,10,129427306,129439080,21880,10-3,class2
ENSMUSG00000096497,Olfr787,Olfr787,olfactory receptor 787,10,129461862,129467485,34556,10-3,class2
ENSMUSG00000049217,Olfr788,Olfr788,olfactory receptor 788,10,129470998,129476618,9136,10-3,class2
ENSMUSG00000111273,Olfr789,Olfr789,olfactory receptor 789,10,129484752,129490542,13754,10-3,class2
ENSMUSG00000044025,Olfr790,Olfr790,olfactory receptor 790,10,129498492,129503342,13740,10-3,class2
ENSMUSG00000047626,Olfr791,Olfr791,olfactory receptor 791,10,129521792,129528353,23300,10-3,class2
ENSMUSG00000094496,Olfr792,Olfr792,olfactory receptor 792,10,129539162,129542534,17370,10-3,class2
ENSMUSG00000044293,Olfr794,Olfr794,olfactory receptor 794,10,129567655,129573110,28493,10-3,class2
ENSMUSG00000052012,Olfr796,Olfr796,olfactory receptor 796,10,129605492,129612570,37837,10-3,class2
ENSMUSG00000095002,Olfr798,Olfr798,olfactory receptor 798,10,129622615,129627934,17123,10-3,class2
ENSMUSG00000094734,Olfr799,Olfr799,olfactory receptor 799,10,129637484,129648326,14869,10-3,class2
ENSMUSG00000108114,Olfr800,Olfr800,olfactory receptor 800,10,129657694,129662074,20210,10-3,class2
ENSMUSG00000058513,Olfr801,Olfr801,olfactory receptor 801,10,129666989,129673865,9295,10-3,class2
ENSMUSG00000093866,Olfr802,Olfr802,olfactory receptor 802,10,129677683,129688169,10694,10-3,class2
ENSMUSG00000046041,Olfr803,Olfr803,olfactory receptor 803,10,129690621,129694286,12938,10-3,class2
ENSMUSG00000095401,Olfr804,Olfr804,olfactory receptor 804,10,129703210,129710018,12589,10-3,class2
ENSMUSG00000096858,Olfr805,Olfr805,olfactory receptor 805,10,129721221,129729375,18011,10-3,class2
ENSMUSG00000071065,Olfr806,Olfr806,olfactory receptor 806,10,129735571,129741921,14350,10-3,class2
ENSMUSG00000050478,Olfr807,Olfr807,olfactory receptor 807,10,129754092,129757793,18521,10-3,class2
ENSMUSG00000049894,Olfr808,Olfr808,olfactory receptor 808,10,129765482,129771713,11390,10-3,class2
ENSMUSG00000050251,Olfr809,Olfr809,olfactory receptor 809,10,129774638,129778937,9156,10-3,class2
ENSMUSG00000069421,Olfr810,Olfr810,olfactory receptor 810,10,129787289,129794917,12651,10-3,class2
ENSMUSG00000063173,Olfr811,Olfr811,olfactory receptor 811,10,129800615,129804396,13326,10-3,class2
ENSMUSG00000049052,Olfr812,Olfr812,olfactory receptor 812,10,129841418,129846094,40803,10-3,class2
ENSMUSG00000052818,Olfr813,Olfr813,olfactory receptor 813,10,129855367,129858722,13949,10-3,class2
ENSMUSG00000059134,Olfr814,Olfr814,olfactory receptor 814,10,129871473,129879851,16106,10-3,class2
ENSMUSG00000061961,Olfr815,Olfr815,olfactory receptor 815,10,129900570,129905867,29097,10-3,class2
ENSMUSG00000063715,Olfr816,Olfr816,olfactory receptor 816,10,129909163,129915597,8593,10-3,class2
ENSMUSG00000058071,Olfr818,Olfr818,olfactory receptor 818,10,129944396,129949100,35233,10-3,class2
ENSMUSG00000094295,Olfr819,Olfr819,olfactory receptor 819,10,129963011,129967266,18615,10-3,class2
ENSMUSG00000095608,Olfr247,Olfr247,olfactory receptor 247,10,129973831,129976140,10820,10-3,class2
ENSMUSG00000094632,Gm10310,Gm10310,predicted pseudogene 10310,10,129980075,129985062,6244,10-3,class2
ENSMUSG00000048745,Olfr820,Olfr820,olfactory receptor 820,10,130012621,130021286,32546,10-3,class2
ENSMUSG00000044897,Olfr821,Olfr821,olfactory receptor 821,10,130030348,130035071,17727,10-3,class2
ENSMUSG00000058251,Olfr822,Olfr822,olfactory receptor 822,10,130071210,130076909,40862,10-3,class2
ENSMUSG00000096747,Olfr823,Olfr823,olfactory receptor 823,10,130111527,130115383,40317,10-3,class2
ENSMUSG00000095804,Olfr824,Olfr824,olfactory receptor 824,10,130123470,130130000,11943,10-3,class2
ENSMUSG00000058084,Olfr825,Olfr825,olfactory receptor 825,10,130159732,130166766,36262,10-3,class2
ENSMUSG00000059862,Olfr826,Olfr826,olfactory receptor 826,10,130178471,130184186,18739,10-3,class2
ENSMUSG00000045559,Olfr827,Olfr827,olfactory receptor 827,10,130203049,130214403,24578,10-3,class2
ENSMUSG00000040328,Olfr56,Olfr56,olfactory receptor 56,11,48978889,49135387,0,11-1,class2
ENSMUSG00000047511,Olfr1396,Olfr1396,olfactory receptor 1396,11,49109982,49114874,131093,11-1,class2
ENSMUSG00000050763,Olfr1395,Olfr1395,olfactory receptor 1395,11,49142274,49150453,32292,11-1,class2
ENSMUSG00000048378,Olfr1394,Olfr1394,olfactory receptor 1394,11,49154377,49162854,12103,11-1,class2
ENSMUSG00000059864,Olfr1393,Olfr1393,olfactory receptor 1393,11,49278304,49282769,123927,11-1,class2
ENSMUSG00000101750,Olfr1392,Olfr1392,olfactory receptor 1392,11,49285282,49295891,6978,11-1,class2
ENSMUSG00000100923,Olfr10,Olfr10,olfactory receptor 10,11,49304741,49320021,19459,11-1,class2
ENSMUSG00000101874,Olfr1391,Olfr1391,olfactory receptor 1391,11,49322742,49329810,18001,11-1,class2
ENSMUSG00000045421,Olfr1390,Olfr1390,olfactory receptor 1390,11,49335188,49342247,12446,11-1,class2
ENSMUSG00000107573,Olfr1389,Olfr1389,olfactory receptor 1389,11,49423067,49432968,87879,11-1,class2
ENSMUSG00000047702,Olfr1388,Olfr1388,olfactory receptor 1388,11,49436624,49446103,13557,11-1,class2
ENSMUSG00000063386,Olfr1387,Olfr1387,olfactory receptor 1387,11,49455343,49464001,18719,11-1,class2
ENSMUSG00000108167,Olfr1386,Olfr1386,olfactory receptor 1386,11,49465046,49471715,9703,11-1,class2
ENSMUSG00000059729,Olfr1385,Olfr1385,olfactory receptor 1385,11,49489070,49497496,24024,11-1,class2
ENSMUSG00000044170,Olfr1384,Olfr1384,olfactory receptor 1384,11,49506724,49517345,17654,11-1,class2
ENSMUSG00000107417,Olfr1383,Olfr1383,olfactory receptor 1383,11,49519648,49527199,12924,11-1,class2
ENSMUSG00000063827,Olfr1382,Olfr1382,olfactory receptor 1382,11,49528247,49538691,8599,11-1,class2
ENSMUSG00000095187,Olfr1381,Olfr1381,olfactory receptor 1381,11,49543449,49556127,15202,11-1,class2
ENSMUSG00000107645,Olfr1380,Olfr1380,olfactory receptor 1380,11,49556878,49565859,13429,11-1,class2
ENSMUSG00000050343,Olfr1378,Olfr1378,olfactory receptor 1378,11,50966530,50973113,1409652,11-1,class2
ENSMUSG00000061952,Olfr1377,Olfr1377,olfactory receptor 1377,11,50981967,50986593,15437,11-1,class2
ENSMUSG00000060918,Olfr51,Olfr51,olfactory receptor 51,11,51003596,51009676,21629,11-1,class2
ENSMUSG00000059397,Olfr54,Olfr54,olfactory receptor 54,11,51014236,51031578,10640,11-1,class2
ENSMUSG00000057890,Olfr1375,Olfr1375,olfactory receptor 1375,11,51048109,51049050,33873,11-1,class2
ENSMUSG00000062204,Olfr1373,Olfr1373,olfactory receptor 1373,11,52144593,52145528,1096484,11-1,class2
ENSMUSG00000060170,Olfr1371,Olfr1371,olfactory receptor 1371,11,52213052,52213987,68459,11-1,class2
ENSMUSG00000043314,Olfr30,Olfr30,olfactory receptor 30,11,58454105,58462270,6241053,11-2,class2
ENSMUSG00000050813,Olfr332,Olfr332,olfactory receptor 332,11,58487950,58492555,33845,11-2,class2
ENSMUSG00000058807,Olfr331,Olfr331,olfactory receptor 331,11,58501598,58502572,13648,11-2,class2
ENSMUSG00000050818,Olfr330,Olfr330,olfactory receptor 330,11,58527186,58534836,25588,11-2,class2
ENSMUSG00000064252,Olfr329-ps,Olfr329-ps,"olfactory receptor 329, pseudogene",11,58539801,58546422,12615,11-2,class2
ENSMUSG00000057654,Olfr328,Olfr328,olfactory receptor 328,11,58550854,58555636,11053,11-2,class2
ENSMUSG00000059279,Olfr224,Olfr224,olfactory receptor 224,11,58565856,58570553,15002,11-2,class2
ENSMUSG00000060765,Olfr325,Olfr325,olfactory receptor 325,11,58577730,58582365,11874,11-2,class2
ENSMUSG00000056564,Olfr324,Olfr324,olfactory receptor 324,11,58595114,58600783,17384,11-2,class2
ENSMUSG00000043880,Olfr323,Olfr323,olfactory receptor 323,11,58624159,58630501,29045,11-2,class2
ENSMUSG00000063549,Olfr322,Olfr322,olfactory receptor 322,11,58658782,58669528,34623,11-2,class2
ENSMUSG00000107711,Olfr320,Olfr320,olfactory receptor 320,11,58681099,58686233,22317,11-2,class2
ENSMUSG00000064044,Olfr319,Olfr319,olfactory receptor 319,11,58699162,58703472,18063,11-2,class2
ENSMUSG00000108265,Olfr318,Olfr318,olfactory receptor 318,11,58717197,58724014,18035,11-2,class2
ENSMUSG00000060030,Olfr317,Olfr317,olfactory receptor 317,11,58731018,58739212,13821,11-2,class2
ENSMUSG00000107677,Olfr316,Olfr316,olfactory receptor 316,11,58752734,58759671,21716,11-2,class2
ENSMUSG00000056959,Olfr315,Olfr315,olfactory receptor 315,11,58773188,58780251,20454,11-2,class2
ENSMUSG00000059504,Olfr314,Olfr314,olfactory receptor 314,11,58782952,58788768,9764,11-2,class2
ENSMUSG00000070438,Olfr313,Olfr313,olfactory receptor 313,11,58815000,58819450,32048,11-2,class2
ENSMUSG00000096806,Olfr312,Olfr312,olfactory receptor 312,11,58829237,58834780,14237,11-2,class2
ENSMUSG00000094805,Olfr311,Olfr311,olfactory receptor 311,11,58839251,58844111,10014,11-2,class2
ENSMUSG00000059610,Olfr222,Olfr222,olfactory receptor 222,11,59570255,59576235,731004,11-2,class2
ENSMUSG00000048919,Olfr223,Olfr223,olfactory receptor 223,11,59588497,59593289,18242,11-2,class2
ENSMUSG00000044061,Olfr225,Olfr225,olfactory receptor 225,11,59610585,59615060,22088,11-2,class2
ENSMUSG00000062128,Olfr20,Olfr20,olfactory receptor 20,11,73350783,73355951,13740198,11-3,class2
ENSMUSG00000063881,Olfr376,Olfr376,olfactory receptor 376,11,73371246,73377836,20463,11-3,class2
ENSMUSG00000069823,Olfr1,Olfr1,olfactory receptor 1,11,73393010,73399614,21764,11-3,class2
ENSMUSG00000055971,Olfr378,Olfr378,olfactory receptor 378,11,73424609,73428477,31599,11-3,class2
ENSMUSG00000084387,Olfr379-ps1,Olfr379-ps1,"olfactory receptor 379, pseudogene 1",11,73433291,73434224,8682,11-3,class1
ENSMUSG00000072709,Olfr380,Olfr380,olfactory receptor 380,11,73452886,73457508,19595,11-3,class2
ENSMUSG00000072708,Olfr381,Olfr381,olfactory receptor 381,11,73484274,73491603,31388,11-3,class2
ENSMUSG00000095312,Olfr382,Olfr382,olfactory receptor 382,11,73516259,73517197,31985,11-3,class2
ENSMUSG00000095095,Olfr385,Olfr385,olfactory receptor 385,11,73588302,73593008,72043,11-3,class2
ENSMUSG00000060335,Olfr384,Olfr384,olfactory receptor 384,11,73598594,73605092,10292,11-3,class2
ENSMUSG00000070383,Olfr389,Olfr389,olfactory receptor 389,11,73774849,73780713,176255,11-3,class2
ENSMUSG00000069818,Olfr390,Olfr390,olfactory receptor 390,11,73782964,73790446,8115,11-3,class2
ENSMUSG00000070382,Olfr391-ps,Olfr391-ps,"olfactory receptor 391, pseudogene",11,73797861,73803052,14897,11-3,class2
ENSMUSG00000061984,Olfr392,Olfr392,olfactory receptor 392,11,73811740,73817049,13879,11-3,class2
ENSMUSG00000094488,Olfr393,Olfr393,olfactory receptor 393,11,73844413,73851454,32673,11-3,class2
ENSMUSG00000056921,Olfr394,Olfr394,olfactory receptor 394,11,73883337,73890771,38924,11-3,class2
ENSMUSG00000062186,Olfr395,Olfr395,olfactory receptor 395,11,73903318,73909299,19981,11-3,class2
ENSMUSG00000108605,Olfr396-ps1,Olfr396-ps1,"olfactory receptor 396, pseudogene 1",11,73925002,73929568,21684,11-3,class2
ENSMUSG00000069816,Olfr23,Olfr23,olfactory receptor 23,11,73936677,73942658,11675,11-3,class2
ENSMUSG00000057050,Olfr397,Olfr397,olfactory receptor 397,11,73960817,73967812,24140,11-3,class2
ENSMUSG00000049041,Olfr398,Olfr398,olfactory receptor 398,11,73979967,73990407,19150,11-3,class2
ENSMUSG00000047444,Olfr139,Olfr139,olfactory receptor 139,11,74044033,74056551,64066,11-3,class2
ENSMUSG00000043692,Olfr399,Olfr399,olfactory receptor 399,11,74053127,74056615,9094,11-3,class2
ENSMUSG00000070380,Olfr401,Olfr401,olfactory receptor 401,11,74113712,74122941,60585,11-3,class2
ENSMUSG00000070379,Olfr402,Olfr402,olfactory receptor 402,11,74153529,74158161,39817,11-3,class2
ENSMUSG00000070378,Olfr403,Olfr403,olfactory receptor 403,11,74186249,74198612,32720,11-3,class2
ENSMUSG00000070377,Olfr43,Olfr43,olfactory receptor 43,11,74205664,74211379,19415,11-3,class2
ENSMUSG00000070375,Olfr406,Olfr406,olfactory receptor 406,11,74259808,74271625,54144,11-3,class2
ENSMUSG00000070374,Olfr59,Olfr59,olfactory receptor 59,11,74283736,74291608,23928,11-3,class2
ENSMUSG00000063116,Olfr410,Olfr410,olfactory receptor 410,11,74330281,74338031,46545,11-3,class2
ENSMUSG00000054406,Olfr411,Olfr411,olfactory receptor 411,11,74345129,74352650,14848,11-3,class2
ENSMUSG00000058275,Olfr412,Olfr412,olfactory receptor 412,11,74362069,74366218,16940,11-3,class2
ENSMUSG00000093839,Olfr462,Olfr462,olfactory receptor 462,11,87884979,87892268,13522910,11-4,class2
ENSMUSG00000093920,Olfr463,Olfr463,olfactory receptor 463,11,87892618,87897387,7639,11-4,class2
ENSMUSG00000060787,Olfr464,Olfr464,olfactory receptor 464,11,87913268,87920967,20650,11-4,class2
ENSMUSG00000042869,Olfr1370,Olfr1370,olfactory receptor 1370,13,21069334,21074947,0,13-1,class2
ENSMUSG00000060404,Olfr1369-ps1,Olfr1369-ps1,"olfactory receptor 1369, pseudogene 1",13,21111483,21119095,42149,13-1,class2
ENSMUSG00000071522,Olfr263,Olfr263,olfactory receptor 263,13,21129639,21136296,18156,13-1,class2
ENSMUSG00000045474,Olfr1368,Olfr1368,olfactory receptor 1368,13,21141882,21145867,12243,13-1,class2
ENSMUSG00000045508,Olfr1367,Olfr1367,olfactory receptor 1367,13,21346910,21347964,205028,13-1,class2
ENSMUSG00000048996,Olfr1366,Olfr1366,olfactory receptor 1366,13,21535113,21542808,188203,13-1,class2
ENSMUSG00000054890,Olfr1535,Olfr1535,olfactory receptor 1535,13,21553894,21559893,18781,13-1,class2
ENSMUSG00000046016,Olfr1364,Olfr1364,olfactory receptor 1364,13,21571813,21581759,17919,13-1,class2
ENSMUSG00000051258,Olfr1362,Olfr1362,olfactory receptor 1362,13,21610978,21614022,39165,13-1,class2
ENSMUSG00000036658,Olfr11,Olfr11,olfactory receptor 11,13,21636623,21642518,25645,13-1,class2
ENSMUSG00000049737,Olfr1361,Olfr1361,olfactory receptor 1361,13,21656880,21663386,20257,13-1,class2
ENSMUSG00000108534,Olfr1360,Olfr1360,olfactory receptor 1360,13,21673431,21677405,16551,13-1,class2
ENSMUSG00000108674,Olfr1359,Olfr1359,olfactory receptor 1359,13,21698111,21706833,24680,13-1,class2
ENSMUSG00000108426,Olfr465-ps1,Olfr465-ps1,"olfactory receptor 465, pseudogene 1",13,65138089,65146047,43439978,13-2,class2
ENSMUSG00000049806,Olfr466,Olfr466,olfactory receptor 466,13,65150240,65156152,12151,13-2,class2
ENSMUSG00000052417,Olfr720,Olfr720,olfactory receptor 720,14,14171738,14186838,0,14-1,class2
ENSMUSG00000072707,Olfr31,Olfr31,olfactory receptor 31,14,14322828,14331791,151090,14-1,class2
ENSMUSG00000091809,Olfr721-ps1,Olfr721-ps1,"olfactory receptor 721, pseudogene 1",14,14401298,14410095,78470,14-1,class2
ENSMUSG00000048933,Olfr722,Olfr722,olfactory receptor 722,14,49894258,49901999,35492960,14-2,class2
ENSMUSG00000093825,Olfr723,Olfr723,olfactory receptor 723,14,49928563,49931787,34305,14-2,class2
ENSMUSG00000096254,Olfr724,Olfr724,olfactory receptor 724,14,49960023,49963274,31460,14-2,class2
ENSMUSG00000068437,Olfr725,Olfr725,olfactory receptor 725,14,50034314,50040375,74291,14-2,class2
ENSMUSG00000060523,Olfr726,Olfr726,olfactory receptor 726,14,50083570,50090953,49256,14-2,class2
ENSMUSG00000059488,Olfr727,Olfr727,olfactory receptor 727,14,50123186,50128746,39616,14-2,class2
ENSMUSG00000050030,Olfr728,Olfr728,olfactory receptor 728,14,50133758,50142680,10572,14-2,class2
ENSMUSG00000049011,Olfr729,Olfr729,olfactory receptor 729,14,50144731,50152910,10973,14-2,class2
ENSMUSG00000109835,Olfr730,Olfr730,olfactory receptor 730,14,50183296,50188198,38565,14-2,class2
ENSMUSG00000048080,Olfr731,Olfr731,olfactory receptor 731,14,50233531,50241866,50235,14-2,class2
ENSMUSG00000091873,Olfr732,Olfr732,olfactory receptor 732,14,50278473,50284206,44942,14-2,class2
ENSMUSG00000090874,Olfr733,Olfr733,olfactory receptor 733,14,50295891,50301522,17418,14-2,class2
ENSMUSG00000045306,Olfr734,Olfr734,olfactory receptor 734,14,50316506,50326761,20615,14-2,class2
ENSMUSG00000046210,Olfr735,Olfr735,olfactory receptor 735,14,50342612,50348872,26106,14-2,class2
ENSMUSG00000047716,Olfr736,Olfr736,olfactory receptor 736,14,50381163,50394192,38551,14-2,class2
ENSMUSG00000094692,Olfr738,Olfr738,olfactory receptor 738,14,50407568,50415438,26405,14-2,class2
ENSMUSG00000057903,Olfr739,Olfr739,olfactory receptor 739,14,50418626,50427888,11058,14-2,class2
ENSMUSG00000095917,Olfr740,Olfr740,olfactory receptor 740,14,50445545,50456933,26919,14-2,class2
ENSMUSG00000095765,Olfr741,Olfr741,olfactory receptor 741,14,50472738,50488338,27193,14-2,class2
ENSMUSG00000068431,Olfr742,Olfr742,olfactory receptor 742,14,50503600,50517145,30862,14-2,class2
ENSMUSG00000094285,Olfr743,Olfr743,olfactory receptor 743,14,50521839,50534955,18239,14-2,class2
ENSMUSG00000053815,Olfr744,Olfr744,olfactory receptor 744,14,50614879,50619839,93040,14-2,class2
ENSMUSG00000050028,Olfr745,Olfr745,olfactory receptor 745,14,50639388,50643885,24509,14-2,class2
ENSMUSG00000058188,Olfr746,Olfr746,olfactory receptor 746,14,50647083,50654183,7695,14-2,class2
ENSMUSG00000057179,Olfr747,Olfr747,olfactory receptor 747,14,50680657,50693206,33574,14-2,class2
ENSMUSG00000060084,Olfr748,Olfr748,olfactory receptor 748,14,50707373,50713797,26716,14-2,class2
ENSMUSG00000059069,Olfr749,Olfr749,olfactory receptor 749,14,50736171,50745094,28798,14-2,class2
ENSMUSG00000035932,Olfr750,Olfr750,olfactory receptor 750,14,51066301,51074435,330130,14-2,class2
ENSMUSG00000044286,Olfr221,Olfr221,olfactory receptor 221,14,52033962,52042459,967661,14-2,class2
ENSMUSG00000095030,Olfr1513,Olfr1513,olfactory receptor 1513,14,52347495,52356408,313533,14-2,class2
ENSMUSG00000094140,Olfr1512,Olfr1512,olfactory receptor 1512,14,52371332,52379168,23837,14-2,class2
ENSMUSG00000063867,Olfr1511,Olfr1511,olfactory receptor 1511,14,52389794,52397379,18462,14-2,class2
